Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Torsplan 8, vån 9",Vasastan Hagastaden,Stockholms kommun,2020-03-18,6250000,5995000,Lägenhet,Bostadsrätt,2 ,57 ,True,,,2019,3593,
"Torsplan 8, vån 15",Vasastaden,Stockholms kommun,2020-03-09,6500000,6500000,Lägenhet,Bostadsrätt,2 ,59 ,True,,,2019,3657,
Torsplan 8,Vasastan/Hagastaden,Stockholms kommun,2020-03-01,8500000,8500000,Lägenhet,Bostadsrätt,4 ,85 ,True,,,2019,4869,
"Torsplan 8, vån 13",Hagastaden,Stockholms kommun,2020-02-28,8100000,8100000,Lägenhet,Bostadsrätt,3 ,65 ,False,,,2019,3950,
"Torsplan 8, plan 1",Hagastaden Vasastan,Stockholms kommun,2020-02-21,8000000,8880000,Lägenhet,Bostadsrätt,4 ,103 ,False,,,2016,5752,
Torsplan 8 vån 13,Vasastan,Stockholms kommun,2020-02-21,6700000,6490000,Lägenhet,Bostadsrätt,2 ,57 ,,,,,3593,
Torsplan 8,Vasastan,Stockholms kommun,2020-02-01,6500000,6195000,Lägenhet,Bostadsrätt,3 ,63 ,False,,,2016,3847,4500
"Torsplan 8, vån 10",Vasastan/Hagastaden,Stockholms kommun,2020-01-31,7650000,7650000,Lägenhet,Bostadsrätt,3 ,77 ,True,,,2019,4516,
"Torsplan 8, vån 9",Hagastaden,Stockholms kommun,2020-01-31,5950000,5795000,Lägenhet,Bostadsrätt,2 ,63 ,False,,,2019,3866,
"Torsplan 10, vån 9",Vasastan/Hagastaden,Stockholms kommun,2020-01-09,6100000,6195000,Lägenhet,Bostadsrätt,2 ,56 ,False,,,2018,3584,
"Torsplan 8, vån 5",Hagastaden,Stockholms kommun,2019-12-12,5550000,5550000,Lägenhet,Bostadsrätt,2 ,57 ,True,,,2019,3574,
"Torsplan 8, vån 14",Vasastan/Hagastaden,Stockholms kommun,2019-11-05,6425000,6425000,Lägenhet,Bostadsrätt,2 ,60 ,False,,,2019,3704,
"Torsplan 8, 15 tr",Hagastaden/Vasastan,Stockholms kommun,2019-10-23,7750000,7295000,Lägenhet,Bostadsrätt,3 ,64 ,,,,2018,3909,4428
"Torsplan 8, vån 7",Vasastan/Hagastaden,Stockholms kommun,2019-10-14,7700000,7700000,Lägenhet,Bostadsrätt,3 ,79 ,,,,2019,4611,
"Torsplan 8, vån 9",Vasastan/Hagastaden,Stockholms kommun,2019-09-17,5700000,5695000,Lägenhet,Bostadsrätt,2 ,59 ,,,,2019,3657,
Torsplan 8 - våning 26,Vasastan,Stockholms kommun,2019-09-12,10400000,9950000,Lägenhet,Bostadsrätt,3 ,81 ,,,,2018,4943,
"Torsplan 8, vån 16",Hagastaden,Stockholms kommun,2019-09-05,6550000,6550000,Lägenhet,Bostadsrätt,2 ,62 ,,,,2019,3807,
Torsplan 8,Hagastaden,Stockholms kommun,2019-09-01,9200000,9200000,Lägenhet,Bostadsrätt,4 ,91 ,,,,2019,5176,
Torsplan 8,Vasastaden,Stockholms kommun,2019-08-28,6150000,6195000,Lägenhet,Bostadsrätt,2 ,74 ,,,,2019,4356,
"Torsplan 8, vån 6",Vasastan/Hagastaden,Stockholms kommun,2019-08-28,7210000,6995000,Lägenhet,Bostadsrätt,3 ,74 ,,,,2019,4390,
"Torsplan 10, plan 10",Vasastan - Hagastaden,Stockholms kommun,2019-08-26,9800000,9800000,Lägenhet,Bostadsrätt,4 ,92 ,,,,2018,5357,
"Torsplan 8, vån 23",Vasastan/Hagastaden,Stockholms kommun,2019-08-19,10000000,10000000,Lägenhet,Bostadsrätt,3 ,76 ,,,,2019,4447,
"Torsplan 8, 13 tr",Hagastaden/Vasastan,Stockholms kommun,2019-08-09,8100000,7995000,Lägenhet,Bostadsrätt,3 ,79 ,,,,2018,4611,5700
"Torsplan 8, 10 tr",Vasastan / Hagastaden,Stockholms kommun,2019-08-01,6400000,5995000,Lägenhet,Bostadsrätt,2 ,57 ,,,,2018,3569,3600
"Torsplan 8, vån 8",Vasastan/Hagastaden,Stockholms kommun,2019-07-31,7600000,7495000,Lägenhet,Bostadsrätt,3 ,74 ,,,,2019,4390,
"Torsplan 8, 12 tr",Vasastan,Stockholms kommun,2019-06-05,6600000,5995000,Lägenhet,Bostadsrätt,2 ,61 ,,,,2018,3766,4000
"Torsplan 8, vån 22",Vasastaden,Stockholms kommun,2019-05-23,6520000,6495000,Lägenhet,Bostadsrätt,2 ,62 ,,,,2019,3807,
"Torsplan 8, 11tr",Vasastan,Stockholms kommun,2019-05-22,6350000,6400000,Lägenhet,Bostadsrätt,2 ,58 ,,,,2019,3881,5600
"Torsplan 8, vån 4",Vasastaden,Stockholms kommun,2019-05-09,5475000,5595000,Lägenhet,Bostadsrätt,2 ,61 ,,,,2019,3748,
"Torsplan 8, våning 11",Vasastaden,Stockholms kommun,2019-04-19,6990000,6990000,Lägenhet,Bostadsrätt,3 ,65 ,,,,,4210,3300
"Torsplan 8, plan 24",Hagastaden Vasastan,Stockholms kommun,2019-04-17,7250000,7450000,Lägenhet,Bostadsrätt,3 ,78 ,,,,2016,4543,
"Torsplan 8, vån 25",Hagastaden- Vasastan,Stockholms kommun,2019-03-22,9450000,9450000,Lägenhet,Bostadsrätt,3 ,81 ,,,,2017,4713,
"Torsplan 8, plan 4",Hagastaden Vasastan,Stockholms kommun,2019-03-20,4600000,4975000,Lägenhet,Bostadsrätt,2 ,74 ,,,,2016,4356,
Torsplan 8,Vasastan / Hagastaden,Stockholms kommun,2019-03-06,6150000,6290000,Lägenhet,Bostadsrätt,2 ,69 ,,,,2017 - 2018,4132,
"Torsplan 8, våning 24",Vasastan,Stockholms kommun,2019-01-25,8400000,8600000,Lägenhet,Bostadsrätt,3 ,81 ,,,,,4683,
"Torsplan 8, vån 22",Vasastaden,Stockholms kommun,2019-01-09,6650000,6995000,Lägenhet,Bostadsrätt,2 ,62 ,,,,2018,3807,
"Torsplan 10, plan 12",Vasastan - Hagastaden,Stockholms kommun,2018-12-20,9600000,9600000,Lägenhet,Bostadsrätt,3 ,90 ,,,,2018,5217,
"Torsplan 8, vån 33",Vasastan/Hagastaden,Stockholms kommun,2018-12-20,14500000,14500000,Lägenhet,Bostadsrätt,5 ,109 ,,,,2017,5993,
"Torsplan 8, plan 34",Vasastan Hagastaden,Stockholms kommun,2018-12-18,14950000,14950000,Lägenhet,Bostadsrätt,4 ,105 ,,,,2016,5801,
"Torsplan 8, 25 tr",Vasastan,Stockholms kommun,2018-12-16,9200000,9395000,Lägenhet,Bostadsrätt,4 ,85 ,,,,2016 - 2019,4910,
