Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Vattenledningsvägen 81,Midsommarkransen,Stockholms kommun,2021-02-15,3650000,2695000,Lägenhet,Bostadsrätt,2 ,45 ,True,3 av 3,False,1946,3043,4500
Midsommarvägen 21,Midsommarkransen,Stockholms kommun,2021-02-12,3200000,2875000,Lägenhet,Bostadsrätt,2 ,44 ,True,4 av 4,False,1944,3274,6180
"Tellusborgsvägen 94, vån 4",Midsommarkransen/Telefonplan,Stockholms kommun,2021-02-10,3400000,2795000,Lägenhet,Bostadsrätt,2 ,42 ,True,4 av 6,True,2015,2495,5000
LM Ericssons väg 5,Midsommarkransen/Telefonplan,Stockholms kommun,2021-02-09,2710000,2195000,Lägenhet,Bostadsrätt,2 ,35 ,False,2,False,1940,2235,4932
"Tellusborgsvägen 90, vån 4",Midsommarkransen/Telefonplan,Stockholms kommun,2021-02-04,3420000,2795000,Lägenhet,Bostadsrätt,2 ,49 ,True,4 av 6,True,2012,2728,5232
"Midsommarvägen 27, vån 3",Midsommarkransen,Stockholms kommun,2021-02-02,3750000,3295000,Lägenhet,Bostadsrätt,2 ,53 ,True,3 av 4,False,1944,3928,4700
Pingstvägen 39,Midsommarkransen/Telefonplan,Stockholms kommun,2021-01-29,3375000,2795000,Lägenhet,Bostadsrätt,2 ,51 ,False,1,False,1940,2949,8524
"Tellusborgsvägen 94, vån 4",Midsommarkransen/Telefonplan,Stockholms kommun,2021-01-28,3525000,2895000,Lägenhet,Bostadsrätt,2 ,43 ,True,4 av 6,True,2015,2555,5000
"Tellusborgsvägen 94, vån 5",Midsommarkransen/Telefonplan,Stockholms kommun,2021-01-26,3600000,2795000,Lägenhet,Bostadsrätt,2 ,43 ,True,5 av 6,True,2015,2555,5220
"Midsommarvägen 17, vån 4",Midsommarkransen,Stockholms kommun,2021-01-20,3330000,2995000,Lägenhet,Bostadsrätt,2 ,44 ,True,4 av 4,False,1944,3274,2500
"Cedergrensvägen 61, 1 tr",Telefonplan,Stockholms kommun,2021-01-20,3600000,2850000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 3,False,1939,2981,8556
Valborgsmässovägen 20B,Midsommarkransen/Telefonplan,Stockholms kommun,2021-01-20,3820000,2995000,Lägenhet,Bostadsrätt,2 ,49 ,False,2 av 3,True,2017,2542,
"Midsommargränd 2, 4 tr",Midsommarkransen/Telefonplan,Stockholms kommun,2021-01-20,4460000,3795000,Lägenhet,Bostadsrätt,2 ,56 ,True,4 av 4,True,2009,2315,2000
Valborgsmässovägen 19,Midsommarkransen,Stockholms kommun,2021-01-04,3335000,2795000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 3,False,1938,2981,3620
Midsommarvägen 14,Midsommarkransen,Stockholms kommun,2020-12-16,3000000,2495000,Lägenhet,Bostadsrätt,2 ,44 ,False,1 av 3,False,1939,2810,2500
"Midsommarvägen 19, vån 2",Midsommarkransen,Stockholms kommun,2020-12-11,3350000,2795000,Lägenhet,Bostadsrätt,2 ,53 ,True,2 av 4,False,1944,3849,2500
"Tegelbruksvägen 7, vån 1",Midsommarkransen,Stockholms kommun,2020-12-09,4050000,3495000,Lägenhet,Bostadsrätt,2 ,60 ,True,1 av 4,True,1946,2950,9264
Valborgsmässovägen 30,Midsommarkransen/Telefonplan,Stockholms kommun,2020-12-03,2762500,2800000,Lägenhet,Bostadsrätt,2 ,35 ,False,1 av 3,False,1939,2291,7500
Lötmogatan 7,Midsommarkransen,Stockholms kommun,2020-11-25,2400000,1995000,Lägenhet,Bostadsrätt,2 ,28 ,False,1 av 3,True,1940,2380,2000
Midsommarvägen 40,Midsommarkransen,Stockholms kommun,2020-11-24,3210000,2395000,Lägenhet,Bostadsrätt,2 ,40 ,True,3 av 3,False,1944,3068,3800
"Nyårsvägen 16, 1tr",Midsommarkransen - Telefonplan,Stockholms kommun,2020-11-24,2760000,2195000,Lägenhet,Bostadsrätt,2 ,35 ,False,1 av 3,False,1947,2086,4200
"Adventsvägen 3, 4 tr",Midsommarkransen,Stockholms kommun,2020-11-20,3680000,2695000,Lägenhet,Bostadsrätt,2 ,47 ,True,4 av 6,True,2017,2601,3000
Bäckvägen 79,Telefonplan - Midsommarkransen,Stockholms kommun,2020-11-20,2950000,2250000,Lägenhet,Bostadsrätt,2 ,38 ,True,2 av 3,False,1942,3320,9474
"Nioörtsvägen 28A, vån 4 av 4",Midsommarkransen,Stockholms kommun,2020-11-19,3850000,2995000,Lägenhet,Bostadsrätt,2 ,"62,5 ",True,4 av 4,True,1973,2833,3500
Cedergrensvägen 59,Midsommarkransen/Telefonplan,Stockholms kommun,2020-11-18,3300000,2695000,Lägenhet,Bostadsrätt,2 ,51 ,False,3 av 3,False,1939,2981,8609
"Pingstvägen 21, vån 3 av 3",Telefonplan,Stockholms kommun,2020-11-11,3520000,2695000,Lägenhet,Bostadsrätt,2 ,51 ,False,3 av 3,False,1940,2950,3600
"Svandammsvägen 17A, 1 tr",Midsommarkransen,Stockholms kommun,2020-11-06,2650000,2195000,Lägenhet,Bostadsrätt,2 ,30 ,False,3 av 6,True,1938,2099,6000
"Midsommarvägen 80, vån 2",Midsommarkransen/Telefonplan,Stockholms kommun,2020-11-05,2660000,1995000,Lägenhet,Bostadsrätt,2 ,42 ,True,2 av 3,False,1944,2290,4800
Cedergrensvägen 4,Midsommarkransen,Stockholms kommun,2020-11-04,2950000,2395000,Lägenhet,Bostadsrätt,2 ,34 ,True,3,True,2020,1773,2000
"Kransbindarvägen 29, 2 tr",Midsommarkransen/Telefonplan,Stockholms kommun,2020-11-03,3450000,2695000,Lägenhet,Bostadsrätt,2 ,51 ,False,2,False,1940,2949,4100
Bäckvägen 42,Midsommarkransen,Stockholms kommun,2020-10-22,3180000,2750000,Lägenhet,Bostadsrätt,2 ,60 ,True,2 av 3,True,1942,3699,4769
Vattenledningsvägen 71,Midsommarkransen,Stockholms kommun,2020-10-21,3110000,2495000,Lägenhet,Bostadsrätt,2 ,"39,5 ",True,1 av 3,True,1938,1400,6740
"Svandammsvägen 31B, vån 1",Midsommarkransen,Stockholms kommun,2020-10-20,3950000,3495000,Lägenhet,Bostadsrätt,2 ,58 ,False,1 av 3,True,1939,3673,3000
"Fastlagsvägen 19, 2½ tr",Midsommarkransen,Stockholms kommun,2020-10-14,3550000,2895000,Lägenhet,Bostadsrätt,2 ,51 ,True,3 av 3,False,1944,3415,4200
Vattenledningsvägen 63,Midsommarkransen,Stockholms kommun,2020-10-14,4700000,3995000,Lägenhet,Bostadsrätt,2 ,59 ,True,1,False,1913,3838,5900
"Tellusborgsvägen 94, vån 3",Midsommarkransen/Telefonplan,Stockholms kommun,2020-10-09,3200000,3200000,Lägenhet,Bostadsrätt,2 ,38 ,True,3 av 6,True,2015,2258,5280
Tegelbruksvägen 14,Midsommarkransen,Stockholms kommun,2020-10-05,2800000,2250000,Lägenhet,Bostadsrätt,2 ,38 ,False,1 av 3,False,1936,3025,4200
Valborgsmässovägen 21,Midsommarkransen/Telefonplan,Stockholms kommun,2020-10-02,3500000,2795000,Lägenhet,Bostadsrätt,2 ,51 ,False,1 av 3,False,1939,2981,8000
