Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Johanneshovsvägen 149,Årsta,Stockholms kommun,2020-10-28,3300000,2895000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 7,True,2017,3360,3468
Handelsvägen 16,Gamla Enskede,Stockholms kommun,2020-10-28,4450000,4250000,Lägenhet,Bostadsrätt,2 ,61 ,False,2 av 2,False,1909,3036,5000
"Sockenvägen 476, 2tr",Gamla Enskede,Stockholms kommun,2020-10-27,2800000,2495000,Lägenhet,Bostadsrätt,2 ,49 ,True,2 av 3,False,1945,3560,4644
Grusåsgränd 63,Gamla Enskede,Stockholms kommun,2020-10-21,3200000,2495000,Lägenhet,Bostadsrätt,2 ,67 ,False,1 av 3,False,,3329,5000
Odelbergsvägen 22A,Enskede Gård,Stockholms kommun,2020-10-21,2575000,2395000,Lägenhet,Bostadsrätt,2 ,"41,5 ",True,3 av 3,False,1939,2680,3900
Nynäsvägen 366,Gamla Enskede,Stockholms kommun,2020-10-09,2600000,2350000,Lägenhet,Bostadsrätt,2 ,44 ,True,1 av 2,False,1939,3018,1980
"Nynäsvägen 349, vån 3/3",Gamla Enskede,Stockholms kommun,2020-10-07,3225000,2595000,Lägenhet,Bostadsrätt,2 ,48 ,False,3 av 3,False,1930,2656,3000
Nynäsvägen 366,Gamla Enskede,Stockholms kommun,2020-10-02,2650000,2495000,Lägenhet,Bostadsrätt,2 ,44 ,True,2 av 2,False,1939,3018,5500
Nynäsvägen 356,Gamla Enskede,Stockholms kommun,2020-09-24,2900000,2395000,Lägenhet,Bostadsrätt,2 ,38 ,True,2 av 2,False,1937,2610,6852
Brevvägen 1,Svedmyra/enskede,Stockholms kommun,2020-09-23,2460000,2195000,Lägenhet,Bostadsrätt,2 ,36 ,True,1 av 3,True,1949,2193,4430
"Nynäsvägen 349, vån 3/3",Gamla Enskede,Stockholms kommun,2020-09-15,3250000,3195000,Lägenhet,Bostadsrätt,2 ,57 ,False,3 av 3,False,1930,2353,3000
Nynäsvägen 293,Gamla Enskede,Stockholms kommun,2020-09-09,2700000,2395000,Lägenhet,Bostadsrätt,2 ,38 ,False,3 av 3,False,1944,2181,4800
