Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Fartygsgatan 8,Hammarby Sjöstad,Stockholms kommun,2022-02-15,4550000,4195000,Lägenhet,Bostadsrätt,2 ,"55,5 ",True,3 av 5,True,2007,3733,6600
"Virkesvägen 7C, 6tr",Hammarby Sjöstad,Stockholms kommun,2022-02-09,5050000,4450000,Lägenhet,Bostadsrätt,2 ,51 ,True,6 av 6,True,2021,3312,4392
Konvojgatan 3,Södra Hammarbyhamnen,Stockholms kommun,2022-02-03,4800000,4495000,Lägenhet,Bostadsrätt,2 ,70 ,True,2 av 5,True,2007,4489,7083
"Virkesvägen 9C, 2 tr",Hammarby Sjöstad,Stockholms kommun,2022-02-01,4750000,4195000,Lägenhet,Bostadsrätt,2 ,"55,5 ",True,2,True,2020,3028,10872
"Virkesvägen 13, vån 2",Hammarby Sjöstad,Stockholms kommun,2022-02-01,4200000,3895000,Lägenhet,Bostadsrätt,2 ,50 ,True,2 av 8,True,2017,2473,3768
Redargatan 6,Hammarby Sjöstad,Stockholms kommun,2022-01-26,5300000,4495000,Lägenhet,Bostadsrätt,2 ,66 ,True,4 av 6,True,2009,3965,5400
"Virkesvägen 5F, 8tr",Hammarby Sjöstad,Stockholms kommun,2022-01-25,4375000,3995000,Lägenhet,Bostadsrätt,2 ,42 ,True,8 av 8,True,2019,2328,3500
Sickla Kanalgata 14,Hammarby Sjöstad,Stockholms kommun,2022-01-21,6600000,5895000,Lägenhet,Bostadsrätt,2 ,"69,5 ",True,3 av 4,True,2002,4807,3600
Rorgängargatan 7,Hammarby Sjöstad,Stockholms kommun,2022-01-20,4260000,3495000,Lägenhet,Bostadsrätt,2 ,54 ,True,4 av 5,True,2002,4147,5200
Hästholmsvägen 10,Sofia,Stockholms kommun,2022-01-01,4000000,3650000,Lägenhet,Bostadsrätt,2 ,56 ,True,1 av 8,True,1945,2669,6000
"Fredriksdalsgatan 4, 1 tr",Hammarby Sjöstad,Stockholms kommun,2021-12-12,5000000,4495000,Lägenhet,Bostadsrätt,2 ,55 ,True,1 av 7,True,2018,2952,9600
"Lugnets Allé 69, 4tr",Hammarby Sjöstad,Stockholms kommun,2021-12-08,4050000,3795000,Lägenhet,Bostadsrätt,2 ,49 ,True,4 av 5,True,2002,3442,5700
"Fredriksdalsgatan 20, vån 3",Hammarby Sjöstad,Stockholms kommun,2021-12-07,5000000,3850000,Lägenhet,Bostadsrätt,2 ,48 ,True,3 av 7,True,2018,2629,9000
"Hammarby allé 105, 6tr",Hammarby Sjöstad,Stockholms kommun,2021-11-26,5300000,3975000,Lägenhet,Bostadsrätt,2 ,47 ,True,6 av 6,True,2003,2975,8400
"Fredriksdalsgatan 24, vån 4",Hammarby Sjöstad,Stockholms kommun,2021-11-23,5550000,3995000,Lägenhet,Bostadsrätt,2 ,"54,5 ",True,4 av 8,True,2018,2929,9600
"Förskeppsgatan 5, 3tr",Hammarby Sjöstad,Stockholms kommun,2021-11-19,4500000,3750000,Lägenhet,Bostadsrätt,2 ,51 ,True,3 av 8,True,2008,3314,4788
"Styrbordsgatan 22, pl 2",Hammarby Sjöstad,Stockholms kommun,2021-11-09,5550000,4795000,Lägenhet,Bostadsrätt,2 ,64 ,True,2 av 5,True,2003,2951,5600
Stapelgatan 4,Hammarby Sjöstad - Henriksdalshamnen,Stockholms kommun,2021-11-03,5750000,4795000,Lägenhet,Bostadsrätt,2 ,"66,5 ",True,2 av 5,True,2013,3035,5000
"Korphoppsgatan 23, vån 5",Hammarby Sjöstad,Stockholms kommun,2021-11-03,7100000,6195000,Lägenhet,Bostadsrätt,2 ,70 ,True,5 av 6,True,2003,3666,7200
"Hammarby allé 149, 2tr",Hammarby Sjöstad,Stockholms kommun,2021-10-26,4620000,3795000,Lägenhet,Bostadsrätt,2 ,50 ,True,2,True,2003,3582,6000
Babordsgatan 8,Hammarby Sjöstad,Stockholms kommun,2021-10-26,3900000,3250000,Lägenhet,Bostadsrätt,2 ,42 ,True,5 av 5,True,2002,2614,8112
Fredriksdalsgatan 18,Hammarby Sjöstad,Stockholms kommun,2021-10-22,4750000,3995000,Lägenhet,Bostadsrätt,2 ,55 ,True,3 av 6,True,2018,2952,5880
Korphoppsgatan 28,Hammarby Sjöstad,Stockholms kommun,2021-10-20,5460000,4595000,Lägenhet,Bostadsrätt,2 ,60 ,True,1 av 5,True,2003,4004,6000
Lugnets allé 71,Hammarby Sjöstad,Stockholms kommun,2021-10-05,4100000,3995000,Lägenhet,Bostadsrätt,2 ,49 ,True,3 av 6,True,2002,3442,5200
Virkesvägen 17C,Hammarby Sjöstad,Stockholms kommun,2021-09-30,4300000,3895000,Lägenhet,Bostadsrätt,2 ,49 ,True,6 av 10,True,2015,2431,6200
"Rorgängargatan 3, BV",Hammarby Sjöstad,Stockholms kommun,2021-09-28,3600000,2950000,Lägenhet,Bostadsrätt,2 ,52 ,False,,,2002,4049,4800
"Fendergatan 6 ,pl2",Hammarby Sjöstad,Stockholms kommun,2021-09-28,4225000,3995000,Lägenhet,Bostadsrätt,2 ,51 ,True,2 av 6,True,2009,3245,4200
"Heliosgatan 60, vån 3",Hammarby Sjöstad,Stockholms kommun,2021-09-28,5500000,4950000,Lägenhet,Bostadsrätt,2 ,58 ,True,3 av 7,True,,3421,5500
"Sickla Kanalgata 13A, 3tr",Hammarby Sjöstad,Stockholms kommun,2021-09-23,6700000,5895000,Lägenhet,Bostadsrätt,2 ,"80,5 ",False,3 av 4,True,2001,5069,6700
Konvojgatan 5,Hammarby Sjöstad,Stockholms kommun,2021-09-22,6200000,4995000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,3 av 5,True,2007,4237,5100
"Sickla kanalgata 31, 1 tr",Hammarby Sjöstad,Stockholms kommun,2021-09-21,4750000,4295000,Lägenhet,Bostadsrätt,2 ,63 ,False,1 av 4,True,2001,3794,
"Hammarby allé 5, 5 tr",Hammarby Sjöstad,Stockholms kommun,2021-09-21,4400000,3495000,Lägenhet,Bostadsrätt,2 ,48 ,True,5,True,2016,2884,9600
Fredriksdalsgatan 12,Hammarby Sjöstad,Stockholms kommun,2021-09-18,4175000,3995000,Lägenhet,Bostadsrätt,2 ,48 ,True,3 av 8,True,2018,2629,3200
Heliosgatan 58,Hammarby Sjöstad,Stockholms kommun,2021-09-01,4550000,3995000,Lägenhet,Bostadsrätt,2 ,66 ,False,2 av 7,True,2008,3696,7200
"Hästholmsvägen 17, 6 tr",Södermalm,Stockholms kommun,2021-08-31,4000000,3495000,Lägenhet,Bostadsrätt,2 ,44 ,True,6 av 8,True,1945,2697,5800
Sjöfartsgatan 17,Hammarby Sjöstad,Stockholms kommun,2021-08-31,4450000,3895000,Lägenhet,Bostadsrätt,2 ,"55,5 ",True,5 av 10,True,2008,3094,7200
Skeppsmäklargatan 51,Hammarby Sjöstad,Stockholms kommun,2021-08-29,3515000,3395000,Lägenhet,Bostadsrätt,2 ,39 ,True,2 av 6,True,2019,2390,4800
Korphoppsgatan 22,Hammarby Sjöstad,Stockholms kommun,2021-08-19,4000000,3495000,Lägenhet,Bostadsrätt,2 ,45 ,True,4 av 5,True,2002,3383,4200
"Hammarby allé 127, 2 tr",Hammarby Sjöstad,Stockholms kommun,2021-08-18,4050000,3495000,Lägenhet,Bostadsrätt,2 ,48 ,True,2 av 7,True,2003,2805,8400
Midskeppsgatan 23,Hammarby Sjöstad,Stockholms kommun,2021-08-10,3900000,3750000,Lägenhet,Bostadsrätt,2 ,"41,5 ",False,1 av 5,True,,2235,4200
"Virkesvägen 17C, 9tr",Hammarby Sjöstad,Stockholms kommun,2021-08-05,4200000,3600000,Lägenhet,Bostadsrätt,2 ,48 ,True,9 av 10,True,2018,2596,6600
Henriksdalsallén 33,Hammarby Sjöstad - Henriksdalshamnen,Stockholms kommun,2021-07-20,4400000,4400000,Lägenhet,Bostadsrätt,2 ,59 ,True,3 av 6,True,2013,2770,5280
