Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Boråsvägen 14, 3tr",Hammarbyhöjden,Stockholms kommun,2021-03-16,3620000,2975000,Lägenhet,Bostadsrätt,2 ,52 ,True,3 av 3,False,1942,3071,6300
"Svartågatan 31, 2tr",Bagarmossen,Stockholms kommun,2021-03-11,2940000,2500000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 3,False,1954,3870,5000
"Läckövägen 14, 3tr",Hammarbyhöjden,Stockholms kommun,2021-03-10,3000000,2600000,Lägenhet,Bostadsrätt,2 ,41 ,True,3 av 3,False,1943,2419,7356
Wahlbergsgatan 7,Hammarbyhöjden,Stockholms kommun,2021-03-08,3000000,2695000,Lägenhet,Bostadsrätt,2 ,53 ,False,1 av 3,False,1937,3120,4860
Wahlbergsgatan 9,Hammarbyhöjden,Stockholms kommun,2021-03-08,2770000,2250000,Lägenhet,Bostadsrätt,2 ,38 ,False,1 av 3,False,1937,2362,3792
"Fyrskeppsvägen 43, 3 tr",Kärrtorp,Stockholms kommun,2021-03-05,3025000,2495000,Lägenhet,Bostadsrätt,2 ,52 ,True,3 av 3,False,1949,3303,4896
"Strahlenbergsgatan 23, 3tr",Hammarbyhöjden,Stockholms kommun,2021-03-05,2800000,2500000,Lägenhet,Bostadsrätt,2 ,54 ,True,3 av 3,False,1937,4347,6600
"Fyrvaktarkroken 59, 2tr",Enskede,Stockholms kommun,2021-03-05,3230000,2995000,Lägenhet,Bostadsrätt,2 ,41 ,True,2 av 5,True,2019,2241,8028
Boråsvägen 14,Hammarbyhöjden,Stockholms kommun,2021-03-03,2940000,2495000,Lägenhet,Bostadsrätt,2 ,40 ,True,1 av 3,False,1942,2439,5000
Gondolgatan 7,Skarpnäck,Stockholms kommun,2021-03-03,2300000,1995000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,1 av 3,True,1984,3754,4248
Paternostervägen 28,Hammarbyhöjden,Stockholms kommun,2021-03-03,3125000,2495000,Lägenhet,Bostadsrätt,2 ,41 ,True,1 av 3,False,1952,1995,6000
Palandergatan 31,Johanneshov Skärmarbrink,Stockholms kommun,2021-03-03,2620000,2150000,Lägenhet,Bostadsrätt,2 ,38 ,False,1 av 3,False,1938,2738,4560
"Finn Malmgrens väg 42, 2tr",Hammarbyhöjden,Stockholms kommun,2021-02-27,2865000,2495000,Lägenhet,Bostadsrätt,2 ,42 ,True,2 av 3,False,1939,2444,7560
Strahlenbergsgatan 21,Hammarbyhöjden,Stockholms kommun,2021-02-26,2800000,2495000,Lägenhet,Bostadsrätt,2 ,39 ,True,2 av 3,False,1937,3140,7968
Nathorstvägen 25,Skärmarbrink/Hammarbyhöjden,Stockholms kommun,2021-02-26,3540000,3150000,Lägenhet,Bostadsrätt,2 ,49 ,True,1 av 3,False,1938,2684,4200
"Per Lindeströms väg 121, 2tr",Hammarbyhöjden,Stockholms kommun,2021-02-23,3710000,3200000,Lägenhet,Bostadsrätt,2 ,55 ,True,2 av 3,False,1939,3380,10920
Nathorstvägen 14,Johanneshov - Skärmarbrink,Stockholms kommun,2021-02-23,3715000,2990000,Lägenhet,Bostadsrätt,2 ,53 ,True,1 av 3,False,1939,3326,3000
"Rusthållarvägen 71, 1tr",Bagarmossen,Stockholms kommun,2021-02-22,2965000,2500000,Lägenhet,Bostadsrätt,2 ,56 ,True,1 av 3,False,1953,3128,6000
"Ballonggatan 3, 2tr",Skarpnäck,Stockholms kommun,2021-02-19,2200000,1975000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,2 av 2,True,1980,4319,6000
Uppvindsgatan 2,Skarpnäck,Stockholms kommun,2021-02-17,2300000,1995000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,2 av 3,True,1985,4388,4200
"Falsterbovägen 10, 2 tr",Björkhagen,Stockholms kommun,2021-02-17,3670000,2895000,Lägenhet,Bostadsrätt,2 ,59 ,True,2 av 6,True,1948,2850,4500
Axvallsvägen 51,Björkhagen,Stockholms kommun,2021-02-16,3970000,3050000,Lägenhet,Bostadsrätt,2 ,59 ,True,2 av 3,False,1946,2842,3937
Petrejusvägen 53,Johanneshov,Stockholms kommun,2021-02-16,3700000,2995000,Lägenhet,Bostadsrätt,2 ,58 ,True,3 av 3,False,1938,4342,3620
Thunbergsgatan 18,Hammarbyhöjden,Stockholms kommun,2021-02-12,3060000,2495000,Lägenhet,Bostadsrätt,2 ,41 ,True,3 av 3,False,1938,3673,4200
Vinggatan 34,Skarpnäck,Stockholms kommun,2021-02-12,2800000,2295000,Lägenhet,Bostadsrätt,2 ,"59,5 ",True,1 av 4,True,1986,3662,3300
"Per Lindeströms väg 74, 3 tr",Hammarbyhöjden,Stockholms kommun,2021-02-12,3100000,2495000,Lägenhet,Bostadsrätt,2 ,43 ,True,3 av 3,False,1939,3475,6000
Hållövägen 18,Blåsut,Stockholms kommun,2021-02-12,3030000,2795000,Lägenhet,Bostadsrätt,2 ,46 ,True,2,True,2011,2683,4200
"Sofielundsvägen 37, 2 tr",Blåsut,Stockholms kommun,2021-02-10,3215000,2995000,Lägenhet,Bostadsrätt,2 ,41 ,True,1 av 5,True,2019,2348,5640
Finn Malmgrens Väg 56,Hammarbyhöjden,Stockholms kommun,2021-02-08,3160000,2450000,Lägenhet,Bostadsrätt,2 ,43 ,True,2 av 3,False,1939,2985,3800
"Hasselquistvägen 20, 2 tr",Hammarbyhöjden,Stockholms kommun,2021-02-02,3100000,2495000,Lägenhet,Bostadsrätt,2 ,43 ,True,2 av 3,False,1939,2853,5635
Ballonggatan 5,Skarpnäck,Stockholms kommun,2021-01-30,2500000,2295000,Lägenhet,Bostadsrätt,2 ,"61,5 ",True,1 av 3,True,1985,4237,4000
Hasselquistvägen 33,Hammarbyhöjden,Stockholms kommun,2021-01-29,3175000,2450000,Lägenhet,Bostadsrätt,2 ,42 ,True,3 av 3,False,1939,3012,3228
Olaus Magnus Väg 56,Hammarbyhöjden,Stockholms kommun,2021-01-29,2630000,2650000,Lägenhet,Bostadsrätt,2 ,37 ,False,1 av 3,False,1937,2618,7692
