Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
Bråvallagatan 5,Vasastan,Stockholms kommun,2022-07-20,4500000,4395000,Lägenhet,Bostadsrätt,2 ,44 ,False,,,1927,2590,3700
"Observatoriegatan 12A, Gårdshus",Vasastan,Stockholms kommun,2022-07-19,5700000,5100000,Lägenhet,Bostadsrätt,2 ,48 ,,0 av 3,False,1888,1536,7000
Hagagatan 14A,Vasastan - Odenplan,Stockholms kommun,2022-07-18,6200000,6495000,Lägenhet,Andel i bostadsförening,2 ,65 ,True,,,1905,2712,
Luntmakargatan 89,Vasastan,Stockholms kommun,2022-07-17,5425000,4795000,Lägenhet,Bostadsrätt,2 ,51 ,True,1 av 6,True,1985,2291,6500
"Vulcanusgatan 4, 1,5 tr",Vasastan,Stockholms kommun,2022-07-17,4950000,4445000,Lägenhet,Bostadsrätt,2 ,40 ,True,1 av 4,True,1928,2220,5520
"Torsgatan 52, 3 tr",Vasastan - S:t Eriksplan,Stockholms kommun,2022-07-15,6450000,6195000,Lägenhet,Bostadsrätt,2 ,53 ,True,3,True,1904,2297,4892
"Atlasgatan 9, 4 tr",Atlas/Vasastan,Stockholms kommun,2022-07-15,3200000,3000000,Lägenhet,Bostadsrätt,2 ,32 ,,4 av 5,True,1928,1720,
Västmannagatan 74,Vasastan,Stockholms kommun,2022-07-15,7600000,7300000,Lägenhet,Andel i bostadsförening,2 ,65 ,,2 av 5,False,1902,1779,4100
"Birger Jarlsgatan 115A, 2 tr",Vasastan Sibirien,Stockholms kommun,2022-07-14,4800000,4995000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 6,True,1913,2373,
Hagaesplanaden 63,Vasastan/Hagastaden,Stockholms kommun,2022-07-14,4300000,4295000,Lägenhet,Bostadsrätt,2 ,43 ,False,5 av 9,True,2022,2452,
"Torbjörn klockares gata 11, 3 tr",Vasastan Rödabergen,Stockholms kommun,2022-07-13,4165000,3975000,Lägenhet,Bostadsrätt,2 ,43 ,False,3 av 4,True,1925,2361,
Norrtullsgatan 32,Vasastan,Stockholms kommun,2022-07-12,3650000,3795000,Lägenhet,Bostadsrätt,2 ,41 ,True,4 av 6,True,1939,2365,
"Nina Einhorns Gata 4, 2 tr",Vasastan,Stockholms kommun,2022-07-08,4500000,4695000,Lägenhet,Bostadsrätt,2 ,54 ,True,2 av 6,True,2018,3251,4860
"Ninni Kronbergs Gata 16, 2tr",Vasastan - Hagastaden,Stockholms kommun,2022-07-08,4100000,4295000,Lägenhet,Bostadsrätt,2 ,41 ,,2 av 7,True,2022,2361,
Sankt Eriksgatan 118,Vasastan,Stockholms kommun,2022-07-08,5800000,5795000,Lägenhet,Bostadsrätt,2 ,62 ,True,4 av 5,False,1924,4220,8543
"Tomtebogatan 1A, 2 tr",Vasastan - Birkastan,Stockholms kommun,2022-07-07,5600000,5295000,Lägenhet,Bostadsrätt,2 ,47 ,,2,True,1929,1100,
Sigtunagatan 19,Vasastan,Stockholms kommun,2022-07-07,5870000,5695000,Lägenhet,Bostadsrätt,2 ,48 ,False,3 av 5,True,1900,2020,9166
Sankt Eriksgatan 84,Vasastan,Stockholms kommun,2022-07-07,4400000,3950000,Lägenhet,Bostadsrätt,2 ,37 ,,6 av 7,False,1928,1351,6000
"Rehnsgatan 12, 1 tr",Vasastaden,Stockholms kommun,2022-07-07,6400000,5950000,Lägenhet,Bostadsrätt,2 ,58 ,True,1 av 5,True,1888,2600,6200
Ruddammsbacken 28,Östermalm / Vasastan,Stockholms kommun,2022-07-04,6000000,6000000,Lägenhet,Bostadsrätt,2 ,65 ,False,,,1995,3629,9800
"Atlasmuren 16, 4 tr",Birkastan/Vasastan,Stockholms kommun,2022-07-01,4350000,4800000,Lägenhet,Bostadsrätt,2 ,44 ,False,4 av 5,True,1928,2272,4000
