Adress,Område,Region,Datum,Slutpris,Begärt pris,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Balkong,Våning,Elevator,Byggår,Avgift/månad,Driftskostnad
"Åsögatan 128, 2 tr",Katarina,Stockholms kommun,2022-06-30,6300000,5695000,Lägenhet,Bostadsrätt,2 ,57 ,True,2,True,1906,2832,
Ringvägen 161,Södermalm- Nytorget - SoFo,Stockholms kommun,2022-06-30,4150000,3750000,Lägenhet,Bostadsrätt,2 ,40 ,False,1,True,1928,1292,4168
"Vindragarvägen 4, 2 tr",Södermalm,Stockholms kommun,2022-06-29,4170000,3650000,Lägenhet,Bostadsrätt,2 ,42 ,True,2,True,1945,2429,8748
Maria Skolgata 93,Södermalm,Stockholms kommun,2022-06-28,8100000,7750000,Lägenhet,Bostadsrätt,2 ,55 ,True,13 av 19,True,2021,3414,
"Bergsunds Strand 36, 3 tr",Hornstull,Stockholms kommun,2022-06-23,3860000,3750000,Lägenhet,Bostadsrätt,2 ,44 ,True,3 av 5,True,1971,2234,7900
"Ringvägen 155, gårdshus",Katarina,Stockholms kommun,2022-06-23,5650000,5750000,Lägenhet,Bostadsrätt,2 ,62 ,True,2,True,1928,2917,10179
"Slipgatan 12, 3 tr",Hornstull,Stockholms kommun,2022-06-23,3550000,3295000,Lägenhet,Bostadsrätt,2 ,35 ,True,3,True,1939,2236,4590
"Borgargatan 6, vån 5",Hornstull,Stockholms kommun,2022-06-23,6200000,5895000,Lägenhet,Bostadsrätt,2 ,57 ,True,5 av 6,True,1926,3141,
"Bondegatan 16B, 3 tr",Södermalm - Katarina Sofia,Stockholms kommun,2022-06-23,6000000,5850000,Lägenhet,Bostadsrätt,2 ,58 ,True,3,False,1906,2495,
"Lundagatan 50, 2 tr - Accepterat pris!",Södermalm,Stockholms kommun,2022-06-23,4250000,4250000,Lägenhet,Bostadsrätt,2 ,39 ,True,2,False,1937,1919,8004
"Åsögatan 163, etagelägenhet vån 5&6",SoFo,Stockholms kommun,2022-06-23,7300000,6950000,Lägenhet,Bostadsrätt,2 ,"64,1 ",True,,,1927,1810,
"Blekingegatan 16, 4 tr",Katarina,Stockholms kommun,2022-06-22,4110000,3750000,Lägenhet,Bostadsrätt,2 ,45 ,,4 av 7,True,1971 - 1973,2143,5000
Mariatorget 6A,Södermalm Maria,Stockholms kommun,2022-06-22,7750000,6950000,Lägenhet,Bostadsrätt,2 ,67 ,True,1 av 3,False,1896,2680,4800
Blekingegatan 36,Södermalm,Stockholms kommun,2022-06-22,3350000,2995000,Lägenhet,Bostadsrätt,2 ,42 ,False,2 av 5,True,1931,2167,8000
Krukmakargatan 50A,Södermalm - Zinkensdamm,Stockholms kommun,2022-06-21,5400000,5400000,Lägenhet,Andel i bostadsförening,2 ,58 ,False,,,,2644,
"Klippgatan 14 F, 4tr",Södermalm-Sofia,Stockholms kommun,2022-06-21,3850000,3350000,Lägenhet,Bostadsrätt,2 ,"37,5 ",False,4 av 4,False,1929,2125,3540
"Malmgårdsvägen 30L, Vån 5",Södermalm,Stockholms kommun,2022-06-21,6000000,5495000,Lägenhet,Bostadsrätt,2 ,58 ,True,5 av 6,True,2005,3438,5880
"Närkesgatan 2, 2 tr",Södermalm / Nytorget / SoFo,Stockholms kommun,2022-06-21,5450000,5650000,Lägenhet,Bostadsrätt,2 ,56 ,True,2 av 5,True,1925 - 1926,2250,
"Lindvallsplan 10, 6 tr",Södermalm,Stockholms kommun,2022-06-20,4400000,4250000,Lägenhet,Bostadsrätt,2 ,50 ,False,6,True,1931,3047,6432
Skinnarviksringen 20,Södermalm,Stockholms kommun,2022-06-20,5150000,5050000,Lägenhet,Bostadsrätt,2 ,56 ,True,2 av 4,False,1936,4230,6600
Högalidsgatan 36 A,Hornstull,Stockholms kommun,2022-06-19,6200000,5995000,Lägenhet,Andel i bostadsförening,2 ,67 ,,1,True,1913,3594,5700
Doktor Abelins Gata 4,Högalid,Stockholms kommun,2022-06-17,4175000,3895000,Lägenhet,Bostadsrätt,2 ,41 ,True,1 av 4,True,1928,2277,6980
